year,month,station_id,reservoir,volume_af,water_year
2006,11,SYSTEM,ALL,338880.101,2007
2006,12,SYSTEM,ALL,91360.98,2007
2007,1,SYSTEM,ALL,115029.536,2007
2007,2,SYSTEM,ALL,103567.48999999999,2007
2007,3,SYSTEM,ALL,300469.36,2007
2007,4,SYSTEM,ALL,194174.221,2007
2007,5,SYSTEM,ALL,326904.085,2007
2007,6,SYSTEM,ALL,218321.95,2007
2007,7,SYSTEM,ALL,92551.3104,2007
2007,8,SYSTEM,ALL,43034.0872,2007
2007,9,SYSTEM,ALL,30870.885000000002,2007
2007,10,SYSTEM,ALL,67881.4244,2008
2007,11,SYSTEM,ALL,76266.652,2008
2007,12,SYSTEM,ALL,141413.946,2008
2008,1,SYSTEM,ALL,51640.9874,2008
2008,2,SYSTEM,ALL,51406.843,2008
2008,3,SYSTEM,ALL,65712.4365,2008
2008,4,SYSTEM,ALL,88895.4216,2008
2008,5,SYSTEM,ALL,492746.01999999996,2008
2008,6,SYSTEM,ALL,354447.14499999996,2008
2008,7,SYSTEM,ALL,170531.18,2008
2008,8,SYSTEM,ALL,69823.7974,2008
2008,9,SYSTEM,ALL,32246.8114,2008
2008,10,SYSTEM,ALL,42365.8674,2009
2008,11,SYSTEM,ALL,208539.117,2009
2008,12,SYSTEM,ALL,78146.0097,2009
2009,1,SYSTEM,ALL,216651.568,2009
2009,2,SYSTEM,ALL,47388.1437,2009
2009,3,SYSTEM,ALL,57691.784400000004,2009
2009,4,SYSTEM,ALL,150722.721,2009
2009,5,SYSTEM,ALL,391139.53500000003,2009
2009,6,SYSTEM,ALL,293903.74,2009
2009,7,SYSTEM,ALL,92436.4893,2009
2009,8,SYSTEM,ALL,47526.055400000005,2009
2009,9,SYSTEM,ALL,44195.1881,2009
2009,10,SYSTEM,ALL,79906.942,2010
2009,11,SYSTEM,ALL,114056.269,2010
2009,12,SYSTEM,ALL,70803.919,2010
2010,1,SYSTEM,ALL,93582.855,2010
2010,2,SYSTEM,ALL,61945.6976,2010
2010,3,SYSTEM,ALL,88833.487,2010
2010,4,SYSTEM,ALL,146684.206,2010
2010,5,SYSTEM,ALL,270078.222,2010
2010,6,SYSTEM,ALL,334249.244,2010
2010,7,SYSTEM,ALL,143151.2915,2010
2010,8,SYSTEM,ALL,65149.856,2010
