reservoir,pcode,year,month,mean_cfs,n_days,volume_af,water_year
CLE,QU,2014,2,373.7660714285714,28,20757.9173553719,2014
CLE,QU,2014,3,1221.0564516129032,31,75079.8347107438,2014
CLE,QU,2014,4,1359.3913333333333,30,80889.40165289256,2014
CLE,QU,2014,5,2674.3087096774193,31,164436.83305785124,2014
CLE,QU,2014,6,1966.7146666666667,30,117027.64958677687,2014
CLE,QU,2014,7,1017.1764516129032,31,62543.74214876033,2014
CLE,QU,2014,8,418.47225806451615,31,25730.85619834711,2014
CLE,QU,2014,9,195.776,30,11649.48099173554,2014
CLE,QU,2014,10,572.6590322580645,31,35211.43140495868,2015
CLE,QU,2014,11,1604.6546666666666,30,95483.58347107438,2015
CLE,QU,2014,12,1036.8506451612902,31,63753.46115702479,2015
CLE,QU,2015,1,1240.7096774193549,31,76288.26446280992,2015
CLE,QU,2015,2,1280.8760714285713,28,71136.25785123967,2015
CLE,QU,2015,3,984.8309677419355,31,60554.8958677686,2015
CLE,QU,2015,4,676.226,30,40238.24132231405,2015
CLE,QU,2015,5,801.9525806451613,31,49310.14214876034,2015
CLE,QU,2015,6,427.348,30,25428.971900826447,2015
CLE,QU,2015,7,183.23387096774192,31,11266.611570247935,2015
CLE,QU,2015,8,160.8341935483871,31,9889.309090909092,2015
CLE,QU,2015,9,156.098,30,9288.476033057852,2015
CLE,QU,2015,10,347.27000000000004,31,21352.800000000003,2016
CLE,QU,2015,11,2118.300333333333,30,126047.62314049587,2016
CLE,QU,2015,12,1262.1993548387097,31,77609.61322314049,2016
CLE,QU,2016,1,430.6045161290323,31,26476.839669421486,2016
CLE,QU,2016,2,1408.9196551724137,29,81041.99008264462,2016
CLE,QU,2016,3,947.9777419354839,31,58288.87933884298,2016
CLE,QU,2016,4,2471.0563333333334,30,147038.06280991738,2016
CLE,QU,2016,5,2247.0670967741935,31,138166.7702479339,2016
CLE,QU,2016,6,1242.3673333333334,30,73925.99008264464,2016
CLE,QU,2016,7,597.0406451612903,31,36710.598347107436,2016
